Index,Formula,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
799,(FASnI3)0.6(MAPbI3)0.4,1000,1.25,0.21,0,0,0,0.4,0.6,0,0,0,0,0.6,0.4,0,0,1,0.32,0.04,0.01,0.63,2.39,298.2,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.8,7.6,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
800,(FASnI3)0.6(MAPbI3)0.34(MAPbBr3)0.06,1000,1.26,0.19,0,0,0,0.4,0.6,0,0,0,0,0.6,0.4,0,0.06,0.94,0.32,0.04,0.01,0.63,2.39,298.2,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.8,7.6,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.19,449.96,379.45,4.82,124.08,297.06,1016.29,7.61,20.53,2.68,51.92,4.94
801,MA0.3FA0.7Pb0.5Sn0.5I3,1000,1.27,0.21,0,0,0,0.3,0.7,0,0,0,0,0.5,0.5,0,0,1,0.45,0.04,0,0.51,2.42,303.4,301.99,0.98,41.16,8.63,872.26,6.39,27.45,2.56,85.6,7.7,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
802,FA0.5MA0.45Cs0.05Pb0.5Sn0.5I3,1000,1.28,0.2,0,0,0.05,0.45,0.5,0,0,0,0,0.5,0.5,0,0,1,0.19,0.07,0.01,0.73,2.33,326.85,273.37,0.96,43.6,10.48,860.17,6.11,28.62,2.47,81.1,7.45,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
803,Cs0.025FA0.475MA0.5Sn0.5Pb0.5I3,1000,1.28,0.18,0,0,0.03,0.5,0.47,0,0,0,0,0.5,0.5,0,0,1,0.17,0.07,0.01,0.75,2.33,308.62,266.01,0.92,40.76,9.56,875.86,6.2,27.39,2.52,81.1,7.45,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
804,FASn0.5Pb0.5I3,1000,1.29,0.16,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0,1,0.53,0.03,0,0.44,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
805,(FASnI3)0.6(MAPbI3)0.3(MAPbBr3)0.1,1000,1.29,0.16,0,0,0,0.4,0.6,0,0,0,0,0.6,0.4,0,0.1,0.9,0.32,0.04,0.01,0.63,2.39,298.2,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.8,7.6,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.18,444.94,374.63,4.75,122.2,298.23,1021.55,7.51,20.28,2.69,51.2,4.9
806,FA0.5MA0.5Pb0.5Sn0.5I3,1000,1.3,0.14,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,1,0.17,0.07,0.01,0.75,2.35,293,267.32,0.9,38.56,8.64,887.7,6.31,26.43,2.56,82,7.5,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
807,CsSnI3,1000,1.31,0.05,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.05,0.69,0.26,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
808,MASnI3,1000,1.35,0.07,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.03,0.12,0.85,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
809,FA0.75Cs0.25Sn0.5Pb0.5I3,1000,1.31,0.14,0,0,0.25,0,0.75,0,0,0,0,0.5,0.5,0,0,1,0.43,0.05,0,0.52,2.33,475.25,340.88,1.29,67.02,17.82,730.75,5.4,38.69,2.13,82,7.5,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
810,MAPb0.4Sn0.6I2.8Br0.2,1000,1.32,0.12,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0.07,0.93,0.01,0.25,0.74,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.18,449.12,378.65,4.81,123.77,297.25,1017.17,7.6,20.49,2.68,51.8,4.93
811,MAPb0.4Sn0.6I3,1000,1.34,0.1,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,1,0.01,0.24,0.75,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
