Index,Formula,Phase,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
94,FASnI_3,Hex,-0.909,0.920,0.158,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
95,FASnBr_3,Hex,-1.326,1.181,0.153,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
96,FASnCl_3,Hex,-1.474,1.863,0.128,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
97,FAGeI_3,Hex,-0.831,1.221,0.152,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
98,FAGeBr_3,Hex,-1.485,1.892,0.123,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
99,FAGeCl_3,Hex,-1.959,2.622,0.051,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
100,CsPbI_3,Hex,-0.130,2.172,0.119,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
101,CsPbBr_3,Hex,-0.291,1.341,0.156,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
102,CsPbCl_3,Hex,1.621,1.788,0.121,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
103,CsSnI_3,Hex,-0.271,3.242,0.016,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
104,CsSnBr_3,Hex,-0.431,2.510,0.067,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
105,CsSnCl_3,Hex,1.296,3.145,0.019,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
